pid,label,artist,_date,object_type,affiliation,department,area_of_research_,Description,current_location,source,order,layout,collection,thumbnail,full,manifest
obj13,The beauty of microscale structures for halide perovskites,Jue Gong,2016,Microscope,Postdoctoral Researcher,Physics,material physics,"Solution-synthesized perovskite CH3NH3PbBr3 display high-crystallinity versatile structures at micrometer scale -- wires, cubes and plates, which enable well-defined research of this material on the settings of optics, electronics, optoelectronics, such as solar cells, lasers, photodetectors, and light-emitting diodes. This research content was part of a PhD dissertation published previously at: http://commons.lib.niu.edu/handle/10843/21486",,,12,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj13/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj13/full/full/0/default.jpg,/img/derivatives/iiif/obj13/manifest.json
obj14,Eyeball,Jiaqi Chen,2019,DSLR,Graduate Student,Department of Chemistry & Biochemistry,Photoinduced Molecular Transformations,"What is in the photo? A red eyeball! It is actually a by-product after a column. Save ""useless"" product sometimes. Maybe it will be a miracle in the future, like becoming an eyeball! In Hanson research group, we will design and synthesis light absorbing and emitting molecules. Making molecules with different structures can change the electrochemical and photophysical properties. Follow us to see more cool molecules.",,,13,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj14/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj14/full/full/0/default.jpg,/img/derivatives/iiif/obj14/manifest.json
obj15,Mistakes Were Made,Judy Roth,2020,Cell Phone Camera,Graduate Student,Chemistry,Inorganic Chemistry,"Several compounds I attempted to synthesize that did not turn out as expected were used in this art piece to create a flower. The green and purple compounds are Chromium containing compounds (dehydrated and hydrated). The compound in the middle is metallic, a synthesis fail from manganese and tellurium containing oxides. The flowers were made to represent that we can learn from mistakes in science and create something new or something beautiful. Never give up, and keep making mistakes and learning from them. It is all about perspective and careful analysis. The compounds intended were synthesized successfully after careful reevaluation of the synthesis.",,,14,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj15/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj15/full/full/0/default.jpg,/img/derivatives/iiif/obj15/manifest.json
obj16,Chemistry is Fire,Drake Beery,2019,DSLR,Graduate Student,Chemistry & Biochemistry,Materials Chemistry,Close up image of a pure compound that is used to create a photomechanical polymer that when exposed to ultra-violet light will cause the polymer films to bend with directional control based on the polarization of the incident light. These materials are typically used in a variety of applications ranging from robotics to drug delivery.,,,15,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj16/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj16/full/full/0/default.jpg,/img/derivatives/iiif/obj16/manifest.json
obj17,Viewing Cancer Through a Mathematical Lens,Kelsey Gasior,2016,Microscope,Postdoctoral Researcher,Mathematics,Biomathematics,"This image captures MCF7 (breast) carcinoma cells and was taken while researching the epithelial mesenchymal transition. The epithelial mesenchymal transition (EMT) is a process by which epithelial cells change the way they behave so as to adopt the mobile and invasive properties of mesenchymal cells. By undergoing EMT, cancer cells are able to metastasize. Several factors can inhibit the upregulation of EMT, such as cell-cell adhesion. Cell-cell adhesion can promote the presence of E-cadherin (a transmembrane protein), which is shown in red. The nuclei of the cells are shown in blue. A classic marker of mesenchymal cells, vimentin, was tagged with a green fluorescent marker. In this image, cells are completely confluent and have grown on top of each other. Cells exhibiting vimentin and undergoing EMT are actually below the top layer of cells. Thus, despite the abundance of cell-cell contact, some cells are still capable of transitioning and becoming invasive. 
 
 As a biomathematician, I tend to see biological problems through a mathematical lens: using mathematics to understand the world around me feels like putting on a pair of glasses. This image was captured during my graduate work but, over the years, I have continued to study it and now, when I look at it, I see the beautiful geometry of the cells. Thus, I have overlaid my own mathematical lens to this biological image.",,,16,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj17/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj17/full/full/0/default.jpg,/img/derivatives/iiif/obj17/manifest.json
obj18,"A Sneak Peek of 'Mars'",Yan Zhou,2019,DSLR,Graduate Student,Chemistry,Materials Chemistry,"Solar energy harvesting has evolved into a premier technology for realizing a sustainable energy future. Work in our research lab focuses on studying solar cells sensitized by dyes that absorb light and convert it into electricity on a semiconductor interface. My research focused on synthesizing the thermally activated delayed fluorescence dye, incorporating it into the bilayer solar cells, which is important to the solar cells’ efficiency in converting solar energy into electricity. This is the TADF sensitizer solid I made and because of its special absorption feature, it has this artistic mars looking color.",,,17,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj18/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj18/full/full/0/default.jpg,/img/derivatives/iiif/obj18/manifest.json
obj19,a panorama of rivers and mountains: emitters and matrix,Xiujun Lian,2018,Other,Graduate Student,Physics,Optoelectronics materials,"This art piece originated from atomic force microscopy (AFM) showing the morphology of the composite optoelectronic materials, where the ""mountains"" correspond to the matrix material Cs4PbBr; while the ""rivers and hills"" represent the emitters CSPbBr3, who is held in the matrix material to fulfill extraordinary light-emitting performance. The light emitting diode (LED) based on this material features 200 times higher brightness than a typical computer monitor.
 
 The author paid tribute to one of the greatest works of ancient Chinese painting ""a panorama of rivers and mountains"".",,,18,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj19/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj19/full/full/0/default.jpg,/img/derivatives/iiif/obj19/manifest.json
obj20,24,Uzoamaka Ezeakunne,2020,Other,Graduate Student,Computer Science,Artificial Intelligence,"The image '24' was inspired by the death of a Star - Kobe Bryant. It was done to remind us to live because life is a sequence of 0s and 1s; it can be at '1' today and '0' tomorrow. I created this art by applying image processing technique.
 
 Image processing is significant in the automatic interpretation of biological and space images, the recognition of face and characters (e.g. plate numbers), to mention a few.",,,19,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj20/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj20/full/full/0/default.jpg,/img/derivatives/iiif/obj20/manifest.json
obj21,Polyelectrolyte Spider Web,Sandrine Lteif,2020,DSLR,Graduate Student,Chemistry,Polymer and Materials Chemistry,"The polymer was synthesized, dissolved in water and deposited on a silicon wafer. The result was an interesting pattern on the surface. This strong positively charged polymer can be used to form thin films. These multilayers have a wide range of applications ranging from electronics to biosensors and tissue engineering.",,,20,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj21/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj21/full/full/0/default.jpg,/img/derivatives/iiif/obj21/manifest.json
obj22,Continue to Grow,Lauren Schulte,2016,Cell Phone Camera,Graduate Student,Biological Science,Maize Epigenetics,We grow maize plants in a variety of genetic backgrounds in order to study gene regulatory mechanisms. Here we see brace roots aiding in the plant's stability as it grows. By studying how maize genes are regulated we can further understand maize development and aid agricultural endeavors.,,,21,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj22/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj22/full/full/0/default.jpg,/img/derivatives/iiif/obj22/manifest.json
obj23,the power of the code,Jason Lynn,2019,Cell Phone Camera,Graduate Student,Biological Science,epigenetics and inheritance,"Tiny pieces of DNA code in specific locations can produce massive effects on an organism. We see in this photograph the power of that code - causing the intense production of a pigment protein which makes these maize kernels appear dark purple. This is the result of a random event that inserted ~1000 bases of ""junk DNA"" nearby a gene, which changed the normal program leading to a new observable trait. Using molecular biology and genetics, we can harness this diversity to understand how and why these apparently random events happen and to develop new traits in agriculture.",,,22,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj23/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj23/full/full/0/default.jpg,/img/derivatives/iiif/obj23/manifest.json
obj24,Velcro Teeth,Nicole Morgan,2019,DSLR,Graduate Student,EOAS,Biological Oceanography,"This macro shot of the mouth of a pencil urchin Sterocidaris nascaensis that was collected from 300 meters deep as part of an ecological survey in the South Pacific Ocean on the Salas y Gomez Ridge. Urchins eat algae and bacterial mats by scraping organic material off of rocks, pebbles, or even sand grains, which sounds like velcro when recorded underwater.",,,23,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj24/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj24/full/full/0/default.jpg,/img/derivatives/iiif/obj24/manifest.json
obj25,Reflections of a Sabellid,Samantha Politano,2018,Cell Phone Camera,Undergraduate Student,EOAS,Sponge Ecology,"I investigated the presence and characteristics of sabellid worms on mangrove roots hosting sponges in Bocas del Toro, Panama. This research may illuminate a relationship between the two invertebrates.",,,24,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj25/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj25/full/full/0/default.jpg,/img/derivatives/iiif/obj25/manifest.json
obj26,Bubbles,Tianhan Liu,2019,Microscope,Graduate Student,physics,Condensed Matter Experiment,"The bubbles form when aluminum was deposited on a thin flake of topological insulators (TI) BiSbTeSe by thermal evaporation. TI is a kind of material which is conducting on the surface but insulating in interior. Aluminum is a common metal in daily life but actually superconducts at low temperature (-270 degC). The study of the interface between aluminum and TI helps develop the understanding of some fundamental questions in condensed matter physics and more well-known field quantum computing. Obtaining flat and clean interface between aluminum and TI is critical in experiments. We found that the bubbles only form with liquid nitrogen cooling (-100 degC) during the evaporation, which destroys the sample but has its own beauty as art in science.",,,25,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj26/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj26/full/full/0/default.jpg,/img/derivatives/iiif/obj26/manifest.json
